feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000203875,7.416769,0.57003015,1.200120804588471e-13,3.730775541197361e-11,SNHG5
ENSG00000266412,-7.405836,-0.6735682,1.303267367402233e-13,4.03075329308959e-11,NCOA4
ENSG00000172725,-7.3875813,-0.55973196,1.4952374476495586e-13,4.601005017211604e-11,CORO1B
ENSG00000128590,7.367822,1.0161618,1.73438221020794e-13,5.309925010131067e-11,DNAJB9
ENSG00000111775,7.3546824,0.27906406,1.9138148014254936e-13,5.829826102895075e-11,COX6A1
ENSG00000161016,7.352877,0.25441635,1.9398533280386042e-13,5.876755516253861e-11,RPL8
ENSG00000118181,7.3522754,0.34247574,1.9486099387436712e-13,5.876755516253861e-11,RPS25
ENSG00000113739,7.328905,1.1861682,2.3204063129486687e-13,6.963401499239373e-11,STC2
ENSG00000013375,7.3273,0.7125356,2.348352665592301e-13,7.012551243130034e-11,PGM3
ENSG00000133134,7.308945,1.096113,2.69247613611298e-13,8.000745632109447e-11,BEX2
ENSG00000166794,7.2947025,0.34871274,2.993199485276892e-13,8.850963882829264e-11,PPIB
ENSG00000108106,-7.2904897,-0.73052114,3.088303029459934e-13,9.087856375865617e-11,UBE2S
ENSG00000154781,7.286879,0.7874403,3.1721777627111206e-13,9.289576995062097e-11,CCDC174
ENSG00000205937,-7.2774506,-0.47528073,3.4018751001159577e-13,9.914339744900444e-11,RNPS1
ENSG00000110108,-7.2536793,-0.7890534,4.056000578755249e-13,1.176414828151026e-10,TMEM109
ENSG00000242247,7.247561,0.8319843,4.2434381053706054e-13,1.2249189262355272e-10,ARFGAP3
ENSG00000101444,-7.228303,-0.43271247,4.890664839965798e-13,1.4050578764639178e-10,AHCY
ENSG00000124767,-7.2200785,-0.44585526,5.195763368565205e-13,1.4808776500386746e-10,GLO1
ENSG00000067560,-7.2198777,-0.29350945,5.203433567994155e-13,1.4808776500386746e-10,RHOA
ENSG00000124783,7.1978116,0.49804065,6.118665793196229e-13,1.7332121575596366e-10,SSR1
ENSG00000135540,7.194903,0.66593504,6.250529998857344e-13,1.76232966511969e-10,NHSL1
ENSG00000078668,-7.1871796,-0.4238255,6.614340012581159e-13,1.8562716538085985e-10,VDAC3
ENSG00000144867,7.177551,0.54314524,7.097136947633896e-13,1.9825868416065397e-10,SRPRB
